label,text
spam,Win a free cash prize now! Click here to claim your reward.
ham,Hey are we still meeting for lunch today? Let me know.
spam,URGENT: Your mobile number has won a £2000 prize award. Call now.
ham,I will be home late tonight. Do not wait up for dinner.
spam,FREE ringtone for your phone! Click the link below.
ham,Can you send me the reports for the bioinformatics project?
spam,Congratulations! You have been selected for a free holiday voucher.
ham,Hello, just wanted to check if you got my email.
spam,Claim your cash reward of £500 by replying to this message.
ham,Are you coming to the seminar tomorrow morning?
spam,Get cheap pharmacy meds delivered to your door. Buy now.
ham,Let's catch up over coffee this weekend.
spam,Double your income in 2 weeks! Click to register for free.
ham,Please remember to turn off the lights before leaving the lab.
ham,Do you want to play tennis this evening?
